LOCATION,TYPE
L2H15F09,MAGASIN
L2H15F10,MAGASIN
L2H15F11,MAGASIN
L2H15F12,MAGASIN
L2H15F13,MAGASIN
L2H15F14,MAGASIN
L2H15F15,MAGASIN
L2H15F16,MAGASIN
L2H15F17,MAGASIN
L2H15G01,MAGASIN
L2H15G02,MAGASIN
L2H15G03,MAGASIN
L2H15G04,MAGASIN
L2H15G05,MAGASIN
L2H15G06,MAGASIN
L2H15G07,MAGASIN
L2H15G08,MAGASIN
L2H15G09,MAGASIN
L2H15G10,MAGASIN
L2H15G11,MAGASIN
L2H15G12,MAGASIN
L2H15G13,MAGASIN
L2H15G14,MAGASIN
L2H15G15,MAGASIN
L2H15G16,MAGASIN
L2H15G17,MAGASIN
L2H15H,MAGASIN
L2H15H01,MAGASIN
L2H15H02,MAGASIN
L2H15H03,MAGASIN
L2H15H04,MAGASIN
L2H15H05,MAGASIN
L2H15H06,MAGASIN
L2H15H08,MAGASIN
L2H15H09,MAGASIN
L2H15H10,MAGASIN
L2H15H11,MAGASIN
L2H15H12,MAGASIN
L2H15H13,MAGASIN
L2H15H14,MAGASIN
L2H16A,MAGASIN
L2H16A03,MAGASIN
L2H16A04,MAGASIN
L2H16A07,MAGASIN
L2H16A09,MAGASIN
L2H16A15,MAGASIN
L2H16B,MAGASIN
L2H16B01,MAGASIN
L2H16B02,MAGASIN
L2H16B03,MAGASIN
L2H16B04,MAGASIN
L2H16B05,MAGASIN
L2H16B06,MAGASIN
L2H16B07,MAGASIN
L2H16B08,MAGASIN
L2H16B09,MAGASIN
L2H16B10,MAGASIN
L2H16B11,MAGASIN
L2H16B12,MAGASIN
L2H16B13,MAGASIN
L2H16B14,MAGASIN
L2H16B15,MAGASIN
L2H16B16,MAGASIN
L2H16C01,MAGASIN
L2H16C02,MAGASIN
L2H16C03,MAGASIN
L2H16C04,MAGASIN
L2H16C05,MAGASIN
L2H16C06,MAGASIN
L2H16C07,MAGASIN
L2H16C08,MAGASIN
